Name,Created,Inspiration,Kategorie,Rating of Influence in my Life,Status
Curiosity List,"July 20, 2024 1:29 PM",,,,
Morning Routine,"July 20, 2024 1:29 PM",,,,Notes in Progress
Perfect day,"July 20, 2024 1:29 PM",,,,
Second Brain,"July 20, 2024 1:29 PM",,,,Notes in Progress
PARA Technique,"July 20, 2024 1:29 PM",Tiago Forte,,,Notes in Progress
Marcs Laws,"July 20, 2024 1:29 PM",,,,Notes in Progress
Wim Hof,"July 20, 2024 1:29 PM",,,,notes in review
Sleep,"July 20, 2024 1:29 PM",,Health,,notes in review
Boost your Immune system,"July 20, 2024 1:29 PM",,,,Notes in Progress
Barefood running,"July 20, 2024 1:29 PM",Vibrabarefood,Health,,notes in review
Biohacking,"July 20, 2024 1:29 PM",,,,Notes in Progress
Food,"July 20, 2024 1:29 PM",,,,notes in review
"Ideas I got ","July 20, 2024 1:29 PM",,,,Notes in Progress
Tägliche Glaubenssätze,"July 20, 2024 1:29 PM",,,,
How to live like a healhty Avatar,"July 20, 2024 1:29 PM",,,,
Entrepreneurship,"July 20, 2024 1:29 PM",,,,
The concept of Non Time,"July 20, 2024 1:29 PM",,,,
Goalsetting,"July 20, 2024 1:29 PM",,,,
The Value Thing,"July 20, 2024 1:29 PM",,,,
Interviews,"July 20, 2024 1:29 PM",,,,
Leadership,"July 20, 2024 1:29 PM",,,,
Biohack your house,"October 22, 2024 8:45 PM",,,,
Plan my year 2025,"January 1, 2025 5:15 PM",,,,