Name,Author,Date Finished,Fiction?,Genres,Notes Status,Page,Rating
Show Your Work! By Ali,Austin Kleon,"July 22, 2021",Non-Fiction,"Business, Creativity, Life Advice",,,Lifechanging
THE BUDDHA AND THE BADASS,Vishen Lakhiani,"November 12, 2020",Non-Fiction,"Business, Mindfulnes, Productivity, entrepreneur",Notes in review,,10
wim hof Method,Wim hof,,Non-Fiction,,Notes in review,,4-Star
"Think like a Monk ",Jay Shetty,"May 14, 2021",Non-Fiction,Life Advice,Notes in review,Fertig,Lifechanging
The art of Impossible,Steven Kotler,"June 16, 2021",Non-Fiction,"Creativity, Philosophy, Productivity, entrepreneur",Notes in review,300,Lifechanging
"Zero to One ",Peter Thiel,"October 21, 2020",Non-Fiction,"Business, Life Advice, Productivity, entrepreneur",Notes in review,,7
Effortless,Greg Mckeown,"December 16, 2021",Non-Fiction,"Creativity, Life Advice, Productivity, Study",Notes in review,,Lifechanging
Limitless-,Jim Kwik,"February 20, 2021",Non-Fiction,"Business, Life Advice, Productivity, Study",Notes in review,,4-Star
The leader with no title,,,Non-Fiction,,Notes in review,,
The biohacking handbook,Olli Sovijärvi Teemu Arina Jaako Halmetoja,"June 10, 2021",Non-Fiction,"Biohacking, Life Advice, Mindfulnes, Productivity, health",Notes In Progress,,5-Star
Love People use things,Joshua Fields Millburn & Ryan Nicodemus THE MINIMALISTS,"April 21, 2022",Non-Fiction,"Life Advice, Mindfulnes, Minimalism, Romance",Notes in review,Fertig,Lifechanging
Sieger erkennt man am start - verlierer auch,Dieter Lange,"May 24, 2022",Non-Fiction,"Creativity, Life Advice, Philosophy, entrepreneur",Notes in review,Fertig,Lifechanging
Zen und die Kunst die Welt zu retten,Thich nhat hanh,,Non-Fiction,"Life Advice, Philosophy",Notes in review,300,
Deep Work,"Cal Newport ",,Non-Fiction,,Notes in review,finish,
Game Changers,"Dave Asprey ",,Non-Fiction,"Biography, Biohacking, Life Advice, entrepreneur, health",Notes in review,"finish ",
Zeitmanagement,,,Non-Fiction,,Notes in review,,
The Future is Faster than you think,Peter H diamandis & Steven Kotler,,Non-Fiction,,Notes in review,finish,
"Definiere dich Neu ",ishen Lakhiani,,Non-Fiction,"Creativity, Life Advice, Mindfulnes, health",Notes in review,fertig,
Ikigai,,"January 6, 2022",Non-Fiction,,Notes in review,,
The 5am club,,,Non-Fiction,,Notes In Progress,"164 ",
Bold,,,Non-Fiction,,Notes in review,,
Was ich meinem 18 jährigen ich raten würde,,,Non-Fiction,,Notes In Progress,,
The Winners Laws,,,Non-Fiction,,Notes In Progress,,
Tools der Titanen,Tim Ferris,"November 19, 2020",Non-Fiction,"Business, Life Advice, Productivity, entrepreneur",Notes In Progress,"Die Taktiken, Routinen und Gewohnheiten der Weltklasse Performer, Ikonen und Milliardäre",8
Shaolin,,,Non-Fiction,,Published,,
Lucid dreaming,,,Non-Fiction,,Published,,